Plant,Material Number, Price per case 
AA,B&CR: 750RB Amber Calabash & Brown Crate,16.0359
AD,B&CR: 750RB Amber Calabash & Brown Crate,16.0359
AG,B&CR: 750RB Amber Calabash & Brown Crate,16.0359
AF,B&CR: 750RB Amber Calabash & Brown Crate,16.0359
AC,B&CR: 750RB Amber Calabash & Brown Crate,16.0359
AE,B&CR: 750RB Amber Calabash & Brown Crate,16.0359
AB,B&CR: 750RB Amber Calabash & Brown Crate,16.0359
AA,B&CR: 750RB Green Elite & Red Crate,16.9192
AD,B&CR: 750RB Green Elite & Red Crate,16.9161
AG,B&CR: 750RB Green Elite & Red Crate,16.9192
AF,B&CR: 750RB Green Elite & Red Crate,16.9192
AC,B&CR: 750RB Green Elite & Red Crate,16.9192
AE,B&CR: 750RB Green Elite & Red Crate,16.9192
AB,B&CR: 750RB Green Elite & Red Crate,16.9192
AA,B&CR: 660RB Green Lite & Red Crate,16.9192
AD,B&CR: 660RB Green Lite & Red Crate,16.9192
AG,B&CR: 660RB Green Lite & Red Crate,16.9192
AF,B&CR: 660RB Green Lite & Red Crate,16.9192
AC,B&CR: 660RB Green Lite & Red Crate,16.9192
AE,B&CR: 660RB Green Lite & Red Crate,16.9192
AB,B&CR: 660RB Green Lite & Red Crate,16.9192
AA,B&CR: 660RB Flint Diva & Blue Crate,16.9192
AD,B&CR: 660RB Flint Diva & Blue Crate,16.9192
AG,B&CR: 660RB Flint Diva & Blue Crate,16.9192
AF,B&CR: 660RB Flint Diva & Blue Crate,16.9192
AC,B&CR: 660RB Flint Diva & Blue Crate,16.9192
AE,B&CR: 660RB Flint Diva & Blue Crate,16.9192
AB,B&CR: 660RB Flint Diva & Blue Crate,16.9192
AA,XYX B&CR: 375RB PINT PLASTIC BROWN,23.9358
AD,XYX B&CR: 375RB PINT PLASTIC BROWN,23.9358
AG,XYX B&CR: 375RB PINT PLASTIC BROWN,23.9358
AF,XYX B&CR: 375RB PINT PLASTIC BROWN,23.9358
AC,XYX B&CR: 375RB PINT PLASTIC BROWN,23.9358
AE,XYX B&CR: 375RB PINT PLASTIC BROWN,23.9358
AB,XYX B&CR: 375RB PINT PLASTIC BROWN,23.9358
AA,YX B&CR: 340RB PINT PLASTIC GREEN,23.9358
AD,YX B&CR: 340RB PINT PLASTIC GREEN,23.9358
AG,YX B&CR: 340RB PINT PLASTIC GREEN,23.9358
AF,YX B&CR: 340RB PINT PLASTIC GREEN,23.9358
AC,YX B&CR: 340RB PINT PLASTIC GREEN,23.9358
AE,YX B&CR: 340RB PINT PLASTIC GREEN,23.9358
AB,YX B&CR: 340RB PINT PLASTIC GREEN,23.9358
AA,B&CR: Mix Quart & Red Crate,16.9192
AD,B&CR: Mix Quart & Red Crate,16.9192
AG,B&CR: Mix Quart & Red Crate,16.9192
AF,B&CR: Mix Quart & Red Crate,16.9192
AC,B&CR: Mix Quart & Red Crate,16.9192
AE,B&CR: Mix Quart & Red Crate,16.9192
AB,B&CR: Mix Quart & Red Crate,16.9192
AA,XXXB&CR: 660RB Flint MGD & Yellow Crate,16.9192
AD,XXXB&CR: 660RB Flint MGD & Yellow Crate,16.9192
AG,XXXB&CR: 660RB Flint MGD & Yellow Crate,16.9192
AF,XXXB&CR: 660RB Flint MGD & Yellow Crate,16.9192
AC,XXXB&CR: 660RB Flint MGD & Yellow Crate,16.9192
AE,XXXB&CR: 660RB Flint MGD & Yellow Crate,16.9192
AB,XXXB&CR: 660RB Flint MGD & Yellow Crate,16.9192
AA,B&CR: 660RB Flint Bella & Grey Crate,16.9192
AD,B&CR: 660RB Flint Bella & Grey Crate,16.9192
AG,B&CR: 660RB Flint Bella & Grey Crate,16.9192
AF,B&CR: 660RB Flint Bella & Grey Crate,16.9192
AC,B&CR: 660RB Flint Bella & Grey Crate,16.9192
AE,B&CR: 660RB Flint Bella & Grey Crate,16.9192
AB,B&CR: 660RB Flint Bella & Grey Crate,16.9192
AA,XXX KEG: 20L,263.2608
AD,XXX KEG: 20L,263.2608
AG,XXX KEG: 20L,263.2608
AF,XXX KEG: 20L,263.2608
AC,XXX KEG: 20L,263.2608
AE,XXX KEG: 20L,263.2608
AB,XXX KEG: 20L,263.2608
AA,Keg: 30L Empty,263.2608
AD,Keg: 30L Empty,263.2608
